question_id,question_type,bucket,entailment,verdict,question,quote
sample_71_yes_q01,positive,support,0.984,ok,Is the LDL cholesterol 2.2 mmol/L?,Your LDL cholesterol is 2.2 mmol per liter.
sample_71_yes_q02,positive,support,0.991,ok,"The diabetes was described as stable, right?",my assessment is that your diabetes is stable and
sample_75_yes_q01,positive,support,0.007,WEAK,Does the patient deny any known exposure to COVID-19?,"No, none that I know of."
sample_75_yes_q02,positive,support,0.004,WEAK,Is the patient also feeling tired?,I have been tired.
sample_75_hard_no_q05,hard_negative,refute,0.001,ok,Is a bacterial infection thought to be the most likely cause?,most likely a viral upper respiratory infection
sample_75_yes_q04,positive,support,0.989,ok,Were rest and fluids recommended?,The plan is rest and plenty of fluids.
sample_75_hard_no_q02,hard_negative,refute,0.001,ok,Did the patient report a known exposure to COVID-19?,"No, none that I know of."
sample_75_hard_no_q03,hard_negative,refute,0.0,ok,Will the patient be starting a course of antibiotics?,No antibiotics are needed
sample_75_yes_q03,positive,support,0.994,ok,Has the patient had a sore throat for a few days?,"A sore throat, and I have been tired. A few days now. A few days of sore throat and tiredness."
sample_75_hard_no_q04,hard_negative,refute,0.001,ok,Was the patient found to have a fever?,you have no fever
sample_75_hard_no_q01,hard_negative,refute,0.001,ok,Did the throat examination reveal pronounced swelling with pus?,"slightly red, just mild redness at the back"
sample_77_yes_q02,positive,support,0.988,ok,Did the patient receive a tetanus vaccination?,I have also given you a tetanus vaccination today.
sample_77_hard_no_q01,hard_negative,refute,0.0,ok,Did the infection appear only two days after the injury?,I pricked it on a thorn about two weeks ago
sample_77_yes_q03,positive,support,0.504,ok,Was the infection judged to follow a penetrating trauma?,"The thorn broke the skin, and the infection came after that. An"
sample_77_yes_q07,positive,support,0.011,WEAK,Have about two weeks passed since the injury?,"two weeks ago, and"
sample_77_yes_q04,positive,support,0.138,WEAK,Did the trouble start after the patient pricked themselves on a thorn?,"I pricked it on a thorn about two weeks ago, and now I think it has become infected."
sample_77_hard_no_q02,hard_negative,refute,0.001,ok,Was a foreign body found in the toe?,There is no foreign body left in the toe.
sample_77_yes_q06,positive,support,0.978,ok,"The patient was treated with penicillin, correct?",We are treating it with penicillin.
sample_77_yes_q05,positive,support,0.964,ok,Is a foreign body ruled out?,There is no foreign body left in the toe.
sample_77_yes_q01,positive,support,0.0,WEAK,Does the patient have an infection in the big toe?,"The thorn broke the skin, and the infection came after that. An"
sample_79_yes_q02,positive,support,0.03,WEAK,Is chondromalacia patellae suspected on clinical grounds?,"I suspect a condition called chondromalacia patelli,"
sample_79_hard_no_q03,hard_negative,refute,0.0,ok,Has the patient been referred to a physiotherapist instead of further procedures?,I am going to refer you for an arthroscopy.
sample_79_yes_q05,positive,support,0.981,ok,Do the pains come and go rather than being constant?,"I keep getting pain behind my right kneecap, and it keeps coming back."
sample_79_hard_no_q04,hard_negative,refute,0.171,ok,Does the pain sit on the back of the thigh?,pain behind my right kneecap
sample_79_yes_q03,positive,support,0.903,ok,Does the patient have pain behind the kneecap?,"I keep getting pain behind my right kneecap,"
sample_79_yes_q01,positive,support,0.276,WEAK,Did the patient show up in person for the consultation?,"Louise, come in. Good to see you."
sample_79_hard_no_q02,hard_negative,refute,0.0,ok,Was the diagnosis of chondromalacia patellae confirmed by an MRI scan?,"this is a clinical suspicion at this stage, not something confirmed."
sample_79_hard_no_q01,hard_negative,refute,0.0,ok,Are the knee pains constant throughout the day?,It comes and goes.
sample_79_yes_q04,positive,support,0.001,WEAK,Was the suspicion reached without imaging?,"From what you describe, I suspect a condition called chondromalacia patelli,"
sample_81_yes_q02,positive,support,0.985,ok,Is a viral cause thought to be the most likely explanation?,My assessment is that this is most likely a viral gastroenteritis.
sample_81_hard_no_q02,hard_negative,refute,0.0,ok,Has the patient been given antibiotics for the illness?,Keeping your fluids up matters more than anything I could write on a prescription.
sample_81_yes_q03,positive,support,0.01,WEAK,Did the patient receive advice about fluid intake?,I want to give you instead is advice on fluid intake and
sample_81_yes_q01,positive,support,0.155,WEAK,Does the patient describe symptoms of gastroenteritis?,All the usual gastroenteritis symptoms.
sample_81_yes_q04,positive,support,0.956,ok,Was gastroenteritis the diagnosis arrived at?,My assessment is that this is most likely a viral gastroenteritis.
sample_81_hard_no_q03,hard_negative,refute,0.0,ok,Was the patient told to restrict fluid intake?,Keeping your fluids up
sample_81_hard_no_q05,hard_negative,refute,0.003,ok,Was a bacterial cause considered the most likely one?,most likely a viral gastroenteritis
sample_82_hard_no_q02,hard_negative,refute,0.0,ok,Was the growth suspected to be a basal cell carcinoma?,my suspicion is is molluscum contagiosum.
sample_82_hard_no_q01,hard_negative,refute,0.0,ok,Were seven small lesions counted in the area?,I can see three small lesions
sample_82_hard_no_q03,hard_negative,refute,0.0,ok,Has a cream been prescribed as the treatment?,I will treat them with freezing.
sample_82_hard_no_q04,hard_negative,refute,0.0,ok,Will the lesions be removed surgically?,I will treat them with freezing.
sample_82_yes_q03,positive,support,0.009,WEAK,"The lesions will be treated with freezing, right?",I will treat them with freezing.
sample_82_yes_q01,positive,support,0.078,WEAK,Do the elements resemble molluscs?,my suspicion is is molluscum contagiosum.
sample_82_yes_q02,positive,support,0.002,WEAK,Has the patient noticed a wart-like growth?,It looks a bit like a wart. is
sample_82_yes_q04,positive,support,0.971,ok,Were three small lesions seen in the same area of the thorax?,I can see three small lesions all in the same area on the chest wall so
sample_84_hard_no_q01,hard_negative,refute,0.0,ok,Is the check-up being done because the patient has symptoms from the heart?,What we are doing today is a preventive health check because of the family disposition you described.
sample_84_hard_no_q02,hard_negative,refute,0.0,ok,Does the patient say that exercise is something they rarely do?,I train regularly.
sample_84_yes_q02,positive,support,0.971,ok,Was it the patient's grandfather who died of a heart attack?,"My grandfather on my father's side died of a heart attack,"
sample_84_yes_q04,positive,support,0.488,ok,Does the patient exercise regularly?,I train regularly.
sample_84_yes_q06,positive,support,0.956,ok,Will both blood tests and an ECG be carried out?,"I will take blood samples, and I will record an electrocardiogram, which is a tracing of the heart's electrical activity."
sample_84_yes_q05,positive,support,0.003,WEAK,Was the blood pressure measured at 138 over 83?,I have measured it at 138 over 83.
sample_84_yes_q01,positive,support,0.839,ok,Does the patient report cardiovascular disease in the family?,"So, there is cardiovascular disease in your family? Yes."
sample_84_yes_q03,positive,support,0.966,ok,Did that grandfather die at the age of 52?,"My grandfather on my father's side died of a heart attack, and he was only 52. too."
sample_84_yes_q07,positive,support,0.996,ok,Is the patient otherwise healthy and living a healthy life?,"I am healthy, as far as I know. No illnesses at all. I eat well and I look after myself. And exercise? exercise? I train regularly."
sample_86_yes_q01,positive,support,0.959,ok,Is the patient free of fever?,No fever.
sample_86_hard_no_q03,hard_negative,refute,0.0,ok,Is the tenderness in the area described as severe?,there is slight tenderness there.
sample_86_hard_no_q01,hard_negative,refute,0.0,ok,Has surgery been scheduled to remove the swelling?,We wait and see how it develops.
sample_86_hard_no_q05,hard_negative,refute,0.0,ok,Were both testicles found to be enlarged and abnormal?,The testicles themselves feel normal to me on both sides.
sample_86_hard_no_q04,hard_negative,refute,0.001,ok,Did the patient have a fever when he came in?,No fever.
sample_86_yes_q03,positive,support,0.018,WEAK,"Both testicles felt normal at the examination, correct?",The testicles themselves feel normal to me on both sides.
sample_86_hard_no_q02,hard_negative,refute,0.001,ok,Does the doctor suspect a testicular torsion?,What I suspect is a spermatocele
sample_86_hard_no_q06,hard_negative,refute,0.001,ok,Was the swelling located on the left side of the scrotum?,a small swelling around the epididymis on the right
sample_86_yes_q02,positive,support,0.984,ok,Was a small swelling found around the epididymis?,"I can feel a small swelling around the epididymis on the right,"
sample_90_yes_q04,positive,support,0.001,WEAK,Does the doctor consider the change harmless?,change looks harmless.
sample_90_hard_no_q01,hard_negative,refute,0.0,ok,Did the doctor find the change suspicious?,the change looks harmless.
sample_90_yes_q03,positive,support,0.005,WEAK,Did the patient notice a new mole?,"I have got a new mole on my thigh,"
sample_90_hard_no_q03,hard_negative,refute,0.0,ok,Is the new mole sitting on the back?,a new mole on my thigh
sample_90_yes_q01,positive,support,0.043,WEAK,Was a photo sent in for assessment?,"You sent a photograph through to us,"
sample_90_yes_q05,positive,support,0.0,WEAK,Has the doctor reviewed the photograph?,I have looked at the photograph carefully.
sample_90_hard_no_q02,hard_negative,refute,0.0,ok,Does the patient describe the mole as small and unchanged?,it is quite large.
sample_90_yes_q02,positive,support,0.981,ok,Is the mole located on the thigh?,"I have got a new mole on my thigh,"
sample_92_hard_no_q02,hard_negative,refute,0.001,ok,Has the result of the urine analysis already come back?,We are waiting for that answer.
sample_92_hard_no_q03,hard_negative,refute,0.0,ok,Is the pulse recorded as 92?,your pulse is 62.
sample_92_yes_q03,positive,support,0.001,WEAK,Has a urine sample been sent off for albumin/creatinine ratio analysis?,I'm sending a urine sample for analysis.
sample_92_yes_q02,positive,support,0.07,WEAK,Does the patient work as a staff manager in a retail chain?,work is still the staff manager role in the retail chain? Yes.
sample_92_hard_no_q04,hard_negative,refute,0.0,ok,Are the patient's exercise habits limited to less than an hour a week?,I train maybe eight to ten hours a week.
sample_92_yes_q01,positive,support,0.122,WEAK,Did the patient ask to have his cholesterol level checked?,"My cholesterol, I think. I would like the level checked. Of"
sample_92_yes_q04,positive,support,0.628,ok,Was the previous LDL value 3.9?,My LDL was 3.9.
sample_92_hard_no_q01,hard_negative,refute,0.002,ok,Was the blood pressure measured at 160/95?,Your blood pressure is 135 over 86
sample_95_hard_no_q05,hard_negative,refute,0.01,ok,Does the plan involve a check every third month from now on?,You are given an appointment for the annual check.
sample_95_hard_no_q03,hard_negative,refute,0.454,SUSPICIOUS_entails,Have the results of the blood tests already been gone through?,We have taken your blood test today
sample_95_yes_q02,positive,support,0.973,ok,Were blood tests taken at this visit?,We have taken your blood test today as
sample_95_yes_q03,positive,support,0.674,ok,Has the patient been free of side effects?,any side effects at all? None.
sample_95_hard_no_q04,hard_negative,refute,0.001,ok,Was the follow-up handled by telephone?,I am here for the follow-up.
sample_95_yes_q01,positive,support,0.977,ok,"The treatment is considered well tolerated, right?",can say the treatment is well tolerated.
sample_95_hard_no_q02,hard_negative,refute,0.0,ok,Is the treatment being stopped because it is poorly tolerated?,the treatment is well tolerated.
sample_95_hard_no_q01,hard_negative,refute,0.0,ok,Did the patient report muscle pain as a side effect?,None. Nothing I have noticed.
